"","theta","k","bias_mean","bias_mle","bias_rb","bias_DNN","bias_js","var_mean","var_mle","var_rb","var_DNN","var_js","MSE_mean","MSE_mle","MSE_rb","MSE_DNN","MSE_js","MSE_half","var_ratio_mean","var_ratio_mle","var_ratio_rb","var_ratio_js","MSE_ratio_mean","MSE_ratio_mle","MSE_ratio_rb","MSE_ratio_js","MSE_ratio_half"
"1","0.5",0.1,5.15486470331616e-06,3.55632111137538e-06,1.74419241683044e-06,-3.69560978080719e-06,-5.19996295909042e-05,8.32356982749363e-05,5.87314908063887e-05,3.7813227403127e-05,3.75009153773438e-05,5.87184400890664e-05,8.32356416118705e-05,5.87314447223168e-05,3.78131926321047e-05,3.75008915339612e-05,5.8721085332104e-05,4.15933038025167e-05,2.21956444095824,1.56613485872058,1.00832811739769,1.56578684808695,2.21956434119683,1.56613462560294,1.00832783129598,1.56585838176475,1.1091283993835
"2","1",0.1,-4.3851791247107e-06,1.76635651181201e-05,1.49078671241032e-05,3.93970148682143e-06,-9.34495086113429e-05,0.00033346943604742,0.000234846099987811,0.000151451165990503,0.000150170695216128,0.00023479391486494,0.000333469121807781,0.000234846177143258,0.000151451236783842,0.000150170560566685,0.000234802412881685,0.00016642305540275,2.22060259871266,1.56386104259434,1.0085267686384,1.56351353722523,2.22060249724978,1.56386295860547,1.00852814434683,1.5635715282385,1.10822690395996
"3","1.5",0.1,-6.0073142407191e-06,4.15571248124635e-06,-7.78379759269754e-06,-2.34463928732165e-05,-0.000162511415931155,0.000749960139204511,0.000530884772003117,0.000340857892273031,0.000338207057994537,0.000530766804163484,0.000749959425332214,0.000530884258388286,0.000340857612002654,0.000338207269520815,0.00053079268335697,0.000375710900291357,2.21745857005925,1.56970340935845,1.00783790348496,1.56935460575769,2.21745507243172,1.56970090897355,1.00783644445489,1.5694301429683,1.11088948745448
"4","2",0.1,3.7145568636543e-05,7.49193980320584e-06,1.90758505977939e-05,-4.59280067910406e-06,-0.000214731114856814,0.0013355626849316,0.000940410714922033,0.000606131258661237,0.000601066570027691,0.00094020174637311,0.00133556272916222,0.000940409830640437,0.000606131016418046,0.00060106599005492,0.000940246915623069,0.000666335063774481,2.22198796527658,1.56456998578162,1.00842616922334,1.56422232287814,2.22199018287524,1.56457002425725,1.00842673923817,1.56429898077773,1.10858886511546
"5","2.5",0.1,-1.90730223263991e-05,-1.47198057618425e-05,-1.43620032075908e-05,-4.25192995443524e-05,-0.000292495948005733,0.00208285134949949,0.00146786207281011,0.000946358500494432,0.000938421699339822,0.00146753589936016,0.00208284963042833,0.00146786082162074,0.000946357760403065,0.000938422568808948,0.00146761998570385,0.00104019291264733,2.21952598811895,1.56418172538289,1.00845760617023,1.56383414875484,2.21952209980616,1.56417894284423,1.0084558831574,1.56392230375125,1.10844831232858
"6","3",0.1,1.16402102530166e-05,-1.82024092487687e-05,-2.82549233170393e-05,-6.09840771494952e-05,-0.00035153372009189,0.00300477980404251,0.00212472914530005,0.00136391278096706,0.00135338978083448,0.00212425700949903,0.00300477693475707,0.00212472735189862,0.00136391221539492,0.00135339214650234,0.00212437846119835,0.00150371119446655,2.22018803939085,1.56993142359179,1.00777529155429,1.56958256932401,2.2201820385337,1.56992735430724,1.00777311211667,1.56966956450022,1.1110683613413
"7","3.5",0.1,-2.72749786685011e-05,-7.00451124040491e-05,-1.03853717901004e-05,-5.57981620290526e-05,-0.000458926218502409,0.00408735673113283,0.00289522938439141,0.00186113603778776,0.00184645747753837,0.0028945860358271,0.00408735338770082,0.00289523139547963,0.00186113428450773,0.00184645874451582,0.00289479375451516,0.00205012231707687,2.2136208284536,1.5679913670426,1.00794957935828,1.56764294387438,2.21361749881533,1.5679913802996,1.00794793820089,1.56775436392121,1.11029955213781
"8","4",0.1,-4.5374039473689e-05,-1.18394151891188e-05,-3.08551656544864e-05,-7.3930116984311e-05,-0.000456282544142539,0.00533494747577328,0.00376327240315945,0.00242133850605661,0.00240178383160383,0.00376243616686343,0.00533494419962918,0.0037632687800589,0.0024213370367595,0.00240178689548222,0.00376264059818737,0.00266518140447008,2.22124381285838,1.56686557451195,1.00814172957427,1.56651740150612,2.22123961524824,1.56686206721239,1.00813983177028,1.5666005194986,1.10966606133263
"9","4.5",0.1,-3.23306495362274e-05,-5.78871740826159e-05,5.2826249863358e-07,-5.60135851381816e-05,-0.000557880742174888,0.00675265977636376,0.00477798965723651,0.00307681002016787,0.00305182709874191,0.00477692794074438,0.00675265406897493,0.00477798823017148,0.00307680694363695,0.00305182718443647,0.00477723439473891,0.00338540371869514,2.21266131988522,1.56561610558022,1.0081862178353,1.5652682102186,2.21265938759957,1.56561559400807,1.00818518143094,1.56536858282853,1.1093038740725
"10","5",0.1,5.1607338478199e-05,-0.000149332561602655,-4.91883301174667e-05,-0.000115582706268214,-0.000704871524651374,0.00833713541147867,0.00590540009262013,0.00380296269724085,0.00377154743194519,0.00590408785439465,0.0083371297376605,0.005905416487434,0.00380296131376997,0.00377155701975973,0.00590457879417303,0.00418290970357913,2.21053441907232,1.56577643505186,1.00832954267778,1.56542850406354,2.2105272952208,1.56577680159538,1.00832661254906,1.56555469352262,1.10906707274059
