"","rate_p","rate_t","rate_delta","bias_1","bias_2","bias_3","bias_DNN","MSE_1","MSE_2","MSE_3","MSE_DNN","dec_1_0.05","dec_1_0.051","dec_1_0.052","dec_1_0.053","dec_1_0.054","dec_1_0.055","dec_1_0.056","dec_1_0.057","dec_1_0.058","dec_1_0.059","dec_1_0.06","dec_1_0.061","dec_1_0.062","dec_1_0.063","dec_1_0.064","dec_1_0.065","dec_1_0.066","dec_1_0.067","dec_1_0.068","dec_1_0.069","dec_1_0.07","dec_1_0.071","dec_1_0.072","dec_1_0.073","dec_1_0.074","dec_1_0.075","dec_1_0.076","dec_1_0.077","dec_1_0.078","dec_1_0.079","dec_1_0.08","dec_1_0.081","dec_1_0.082","dec_1_0.083","dec_1_0.084","dec_1_0.085","dec_1_0.086","dec_1_0.087","dec_1_0.088","dec_1_0.089","dec_1_0.09","dec_1_0.091","dec_1_0.092","dec_1_0.093","dec_1_0.094","dec_1_0.095","dec_1_0.096","dec_1_0.097","dec_1_0.098","dec_1_0.099","dec_1_0.1","dec_2_0.05","dec_2_0.051","dec_2_0.052","dec_2_0.053","dec_2_0.054","dec_2_0.055","dec_2_0.056","dec_2_0.057","dec_2_0.058","dec_2_0.059","dec_2_0.06","dec_2_0.061","dec_2_0.062","dec_2_0.063","dec_2_0.064","dec_2_0.065","dec_2_0.066","dec_2_0.067","dec_2_0.068","dec_2_0.069","dec_2_0.07","dec_2_0.071","dec_2_0.072","dec_2_0.073","dec_2_0.074","dec_2_0.075","dec_2_0.076","dec_2_0.077","dec_2_0.078","dec_2_0.079","dec_2_0.08","dec_2_0.081","dec_2_0.082","dec_2_0.083","dec_2_0.084","dec_2_0.085","dec_2_0.086","dec_2_0.087","dec_2_0.088","dec_2_0.089","dec_2_0.09","dec_2_0.091","dec_2_0.092","dec_2_0.093","dec_2_0.094","dec_2_0.095","dec_2_0.096","dec_2_0.097","dec_2_0.098","dec_2_0.099","dec_2_0.1","dec_3_0.05","dec_3_0.051","dec_3_0.052","dec_3_0.053","dec_3_0.054","dec_3_0.055","dec_3_0.056","dec_3_0.057","dec_3_0.058","dec_3_0.059","dec_3_0.06","dec_3_0.061","dec_3_0.062","dec_3_0.063","dec_3_0.064","dec_3_0.065","dec_3_0.066","dec_3_0.067","dec_3_0.068","dec_3_0.069","dec_3_0.07","dec_3_0.071","dec_3_0.072","dec_3_0.073","dec_3_0.074","dec_3_0.075","dec_3_0.076","dec_3_0.077","dec_3_0.078","dec_3_0.079","dec_3_0.08","dec_3_0.081","dec_3_0.082","dec_3_0.083","dec_3_0.084","dec_3_0.085","dec_3_0.086","dec_3_0.087","dec_3_0.088","dec_3_0.089","dec_3_0.09","dec_3_0.091","dec_3_0.092","dec_3_0.093","dec_3_0.094","dec_3_0.095","dec_3_0.096","dec_3_0.097","dec_3_0.098","dec_3_0.099","dec_3_0.1","dec_DNN_0.05","dec_DNN_0.051","dec_DNN_0.052","dec_DNN_0.053","dec_DNN_0.054","dec_DNN_0.055","dec_DNN_0.056","dec_DNN_0.057","dec_DNN_0.058","dec_DNN_0.059","dec_DNN_0.06","dec_DNN_0.061","dec_DNN_0.062","dec_DNN_0.063","dec_DNN_0.064","dec_DNN_0.065","dec_DNN_0.066","dec_DNN_0.067","dec_DNN_0.068","dec_DNN_0.069","dec_DNN_0.07","dec_DNN_0.071","dec_DNN_0.072","dec_DNN_0.073","dec_DNN_0.074","dec_DNN_0.075","dec_DNN_0.076","dec_DNN_0.077","dec_DNN_0.078","dec_DNN_0.079","dec_DNN_0.08","dec_DNN_0.081","dec_DNN_0.082","dec_DNN_0.083","dec_DNN_0.084","dec_DNN_0.085","dec_DNN_0.086","dec_DNN_0.087","dec_DNN_0.088","dec_DNN_0.089","dec_DNN_0.09","dec_DNN_0.091","dec_DNN_0.092","dec_DNN_0.093","dec_DNN_0.094","dec_DNN_0.095","dec_DNN_0.096","dec_DNN_0.097","dec_DNN_0.098","dec_DNN_0.099","dec_DNN_0.1","MSE_ratio_1_DNN","MSE_ratio_2_DNN","MSE_ratio_3_DNN"
"1",0.42,0.42,0,-1.33180000000009e-05,-2.47150000000087e-05,-3.61119999999939e-05,0.000606596088430939,0.00149991745175603,0.00172718260618062,0.00319798752822915,0.0014817482837354,0.09544,0.090752,0.086717,0.082447,0.07879,0.074968,0.071438,0.068066,0.064793,0.061685,0.058505,0.055808,0.053168,0.050261,0.048091,0.04519,0.043129,0.04047,0.038526,0.036133,0.034465,0.032324,0.030705,0.028812,0.027301,0.025604,0.024336,0.022995,0.021876,0.020607,0.019536,0.018321,0.017257,0.016158,0.015259,0.014301,0.013583,0.012732,0.012089,0.011361,0.010784,0.010129,0.009631,0.009049,0.0086,0.008135,0.007738,0.007245,0.006849,0.006358,0.005995,0.110554,0.105837,0.101274,0.096865,0.092783,0.088606,0.084543,0.08074,0.076926,0.073451,0.069764,0.06841,0.065212,0.062101,0.059245,0.05639,0.053407,0.050916,0.048403,0.046046,0.043806,0.041358,0.039313,0.037296,0.035353,0.033412,0.031428,0.029832,0.028282,0.02688,0.025349,0.023784,0.022464,0.02133,0.020169,0.018957,0.017766,0.017403,0.016496,0.015739,0.014968,0.013881,0.013174,0.01256,0.011941,0.011281,0.010403,0.00994,0.009484,0.009089,0.008645,0.188547,0.184756,0.179598,0.17347,0.169804,0.166274,0.161238,0.155847,0.152499,0.14916,0.144175,0.139374,0.136207,0.1332,0.129381,0.124323,0.121363,0.118526,0.114811,0.110393,0.107837,0.105227,0.101538,0.097615,0.09519,0.09279,0.089297,0.085975,0.083687,0.081369,0.078349,0.075194,0.073213,0.071298,0.06855,0.065727,0.063903,0.062161,0.06017,0.057149,0.055553,0.054002,0.052018,0.049329,0.047931,0.046477,0.044674,0.042357,0.041061,0.039837,0.038131,0.09412,0.090855,0.086902,0.082843,0.079525,0.075092,0.07207,0.068482,0.065214,0.061971,0.057904,0.055313,0.052886,0.050085,0.047193,0.045352,0.042958,0.040662,0.0384,0.036763,0.034338,0.032441,0.030858,0.02925,0.027488,0.025651,0.024433,0.023417,0.021992,0.020707,0.019558,0.018724,0.017671,0.016676,0.015775,0.014941,0.01425,0.013313,0.012732,0.011893,0.01137,0.010742,0.010174,0.009704,0.009082,0.008622,0.008307,0.00787,0.007539,0.007238,0.006787,1.01226198013526,1.16563833759031,2.15825289850663
"2",0.47,0.47,0,-3.19800000000179e-06,1.76849999999966e-05,3.85679999999947e-05,0.000657347284415308,0.00153917949902036,0.00177078761978862,0.00327686303110396,0.0015214878425782,0.097988,0.093247,0.089286,0.084929,0.081161,0.07711,0.073569,0.07002,0.066754,0.063468,0.06048,0.057527,0.055063,0.052088,0.049985,0.046977,0.044954,0.042205,0.040394,0.037885,0.036254,0.034052,0.032526,0.030574,0.029201,0.027508,0.026259,0.024713,0.023629,0.022253,0.021209,0.019806,0.018827,0.017597,0.016611,0.015575,0.014819,0.0139,0.013296,0.012464,0.011898,0.011152,0.010662,0.01004,0.009597,0.009054,0.008616,0.008051,0.007653,0.007133,0.006776,0.113723,0.108872,0.104427,0.100045,0.095884,0.091721,0.087513,0.083659,0.079934,0.076444,0.072731,0.070998,0.067857,0.064712,0.061637,0.058608,0.055564,0.052982,0.050489,0.048073,0.045629,0.043135,0.04107,0.039058,0.037134,0.035146,0.033113,0.031446,0.029908,0.028465,0.02692,0.025271,0.02396,0.02278,0.021636,0.020374,0.01915,0.018664,0.017748,0.01689,0.016017,0.014927,0.014238,0.01364,0.013023,0.012366,0.011555,0.011061,0.010595,0.010206,0.009706,0.191034,0.187282,0.182564,0.176118,0.172516,0.169036,0.164518,0.158704,0.155375,0.151991,0.147501,0.142392,0.139312,0.136205,0.132673,0.12726,0.124375,0.121458,0.117993,0.113229,0.11053,0.107908,0.104636,0.100226,0.097727,0.095352,0.092263,0.088479,0.08631,0.084181,0.081499,0.07791,0.075932,0.073948,0.071369,0.068199,0.066419,0.064695,0.062633,0.059471,0.057854,0.056252,0.054292,0.051469,0.050112,0.048695,0.046974,0.044481,0.043136,0.041888,0.040272,0.096404,0.093466,0.088613,0.084549,0.081572,0.077168,0.074017,0.070087,0.067447,0.064207,0.060315,0.057492,0.054525,0.051862,0.048918,0.047063,0.044454,0.042343,0.040182,0.03825,0.03594,0.033951,0.03266,0.030818,0.029147,0.027406,0.026421,0.025121,0.023492,0.022278,0.021105,0.020163,0.019113,0.018042,0.017175,0.016298,0.015506,0.014522,0.013871,0.013146,0.012565,0.011983,0.011321,0.01076,0.010172,0.009658,0.00926,0.008817,0.008449,0.008132,0.007692,1.01162786579496,1.16385262519612,2.15372278331927
"3",0.52,0.52,0,-1.94812e-05,-3.09669999999926e-05,-4.2452799999984e-05,0.000632945979038953,0.00153589260965249,0.00177028806128869,0.00327361679297413,0.00151980676317096,0.098152,0.093495,0.089652,0.085287,0.081688,0.077591,0.074302,0.07072,0.067583,0.064115,0.061175,0.058191,0.05546,0.052706,0.050156,0.047528,0.045177,0.042647,0.04054,0.038311,0.036421,0.034417,0.032634,0.030853,0.029278,0.027725,0.026267,0.02479,0.023415,0.022163,0.020916,0.019798,0.018618,0.017483,0.016412,0.015434,0.014618,0.013814,0.013037,0.012293,0.011658,0.010972,0.01045,0.009858,0.009365,0.008916,0.008411,0.007952,0.007481,0.006992,0.006603,0.113734,0.108988,0.10454,0.100323,0.096062,0.09182,0.087705,0.084005,0.080326,0.076775,0.073159,0.071188,0.068059,0.065006,0.061992,0.058964,0.055858,0.053235,0.050672,0.048292,0.045861,0.043386,0.041296,0.039256,0.037308,0.035273,0.033345,0.031763,0.030081,0.028598,0.026965,0.02535,0.024017,0.022836,0.02159,0.020306,0.01907,0.018473,0.017599,0.016729,0.015912,0.014765,0.014065,0.013357,0.0127,0.012017,0.011142,0.01066,0.010174,0.009737,0.009237,0.191421,0.187545,0.182386,0.176592,0.17297,0.169419,0.164449,0.158905,0.155553,0.152196,0.147416,0.142368,0.139319,0.136142,0.131721,0.127056,0.124214,0.121411,0.117434,0.113169,0.110479,0.107898,0.103975,0.100211,0.097783,0.095371,0.09186,0.088447,0.086235,0.084084,0.080717,0.077685,0.075703,0.073716,0.070772,0.068081,0.066305,0.064516,0.062472,0.059427,0.057769,0.056156,0.054264,0.051614,0.050153,0.048688,0.046891,0.04456,0.043263,0.04199,0.040277,0.096875,0.093876,0.089058,0.085311,0.082455,0.077976,0.07479,0.07086,0.06823,0.06468,0.061044,0.058346,0.055362,0.052668,0.049731,0.047858,0.045358,0.042979,0.04046,0.038853,0.036342,0.034307,0.032753,0.031052,0.02943,0.027623,0.026682,0.025263,0.023533,0.022328,0.021114,0.020191,0.019059,0.017928,0.017092,0.016173,0.01534,0.014324,0.013658,0.012932,0.012323,0.011719,0.011035,0.010507,0.010058,0.009408,0.009,0.008567,0.008151,0.007863,0.007492,1.01058413929411,1.16481128008347,2.1539690915337
"4",0.66,0.66,0,2.28219999999997e-05,3.57550000000015e-05,4.86880000000016e-05,0.000579005019251109,0.00136954931370893,0.00158799903899807,0.00294916565892237,0.00135524328882692,0.086356,0.082116,0.078065,0.074257,0.070678,0.067194,0.063647,0.060393,0.057164,0.054283,0.05126,0.048637,0.04592,0.043593,0.04111,0.038871,0.03656,0.034482,0.032542,0.030774,0.028907,0.027345,0.025624,0.024199,0.022779,0.021544,0.020193,0.019156,0.017882,0.016964,0.015794,0.014943,0.013909,0.013072,0.012147,0.011449,0.010661,0.010098,0.009525,0.008913,0.008394,0.007887,0.007446,0.00705,0.006637,0.006228,0.00579,0.005421,0.005045,0.004728,0.004455,0.101107,0.096578,0.09222,0.088104,0.084026,0.079949,0.076155,0.072584,0.069246,0.065949,0.062524,0.061349,0.058394,0.055435,0.052717,0.049968,0.04713,0.04478,0.042433,0.040312,0.038054,0.035751,0.033819,0.031987,0.030328,0.028639,0.02682,0.025448,0.024016,0.022693,0.021368,0.019941,0.018826,0.017849,0.016885,0.015917,0.014792,0.014002,0.013204,0.012542,0.011724,0.010868,0.010316,0.009792,0.009322,0.008682,0.008087,0.007714,0.007363,0.007063,0.006605,0.179543,0.17569,0.169657,0.164356,0.160728,0.157045,0.151305,0.146476,0.143146,0.13979,0.134374,0.130077,0.127073,0.12402,0.119212,0.115034,0.112191,0.109439,0.105034,0.101397,0.098873,0.096341,0.092273,0.089046,0.086632,0.084378,0.080672,0.077799,0.075637,0.073455,0.069932,0.067508,0.065538,0.063659,0.060516,0.05834,0.056621,0.054985,0.053127,0.050269,0.048796,0.047309,0.045586,0.043051,0.04174,0.040423,0.038901,0.036565,0.03537,0.034234,0.032856,0.085906,0.081715,0.079159,0.074215,0.071048,0.067178,0.06413,0.061159,0.057607,0.054336,0.051396,0.048753,0.04688,0.043864,0.041632,0.039521,0.037296,0.035132,0.033125,0.031544,0.02954,0.027834,0.026494,0.024994,0.023531,0.021853,0.020857,0.019615,0.018387,0.017142,0.016322,0.015318,0.014519,0.013628,0.012874,0.011977,0.011506,0.010728,0.010172,0.009466,0.00907,0.008623,0.008071,0.007614,0.00727,0.006776,0.006461,0.006135,0.005782,0.005586,0.005307,1.01055605661357,1.17174462481391,2.17611530212788
"5",0.42,0.52,0.1,1.51084000000051e-05,-3.88610000000011e-05,-9.28303999999935e-05,0.00113707916314679,0.00247099974284033,0.00212448615348668,0.00330158523181373,0.00205735252161771,0.8728,0.866924,0.86218,0.856097,0.85126,0.845391,0.840152,0.834168,0.82869,0.82261,0.816893,0.811029,0.805807,0.799045,0.793766,0.784826,0.778769,0.769425,0.763435,0.75403,0.747904,0.738844,0.732225,0.723425,0.716796,0.707484,0.700698,0.691788,0.685101,0.675814,0.668138,0.657752,0.649182,0.638367,0.630096,0.619254,0.61149,0.600909,0.59352,0.582296,0.575044,0.563719,0.556572,0.545931,0.538268,0.527888,0.519446,0.508285,0.499329,0.487632,0.479202,0.879814,0.874299,0.86931,0.864279,0.859183,0.853007,0.847055,0.841308,0.835434,0.829492,0.822231,0.818252,0.812127,0.805575,0.799037,0.791684,0.783543,0.776565,0.769383,0.762255,0.754313,0.744749,0.737258,0.729502,0.721642,0.712615,0.703304,0.69518,0.686725,0.678251,0.668611,0.657734,0.649051,0.640182,0.631299,0.620425,0.609849,0.604035,0.594813,0.585765,0.575951,0.563555,0.55443,0.545297,0.535983,0.52547,0.513278,0.504034,0.494821,0.485767,0.475415,0.809761,0.805898,0.800025,0.793996,0.789965,0.785859,0.779656,0.773346,0.769197,0.76496,0.757981,0.751721,0.747315,0.742762,0.737772,0.728924,0.724309,0.719681,0.714366,0.705379,0.700505,0.695597,0.68989,0.680733,0.675703,0.670669,0.664804,0.655434,0.650238,0.645128,0.638775,0.62938,0.624106,0.618656,0.612104,0.602587,0.597203,0.59171,0.585102,0.575237,0.569699,0.564245,0.55722,0.547474,0.541974,0.536463,0.52914,0.519433,0.51378,0.508207,0.500596,0.893054,0.890232,0.884874,0.880252,0.875795,0.869324,0.86502,0.859022,0.85433,0.84765,0.840538,0.834479,0.827867,0.822041,0.814142,0.807761,0.800583,0.794055,0.786173,0.779218,0.76968,0.761438,0.755521,0.746141,0.737198,0.727245,0.720736,0.712659,0.701802,0.692897,0.683376,0.675186,0.664904,0.654606,0.645165,0.636422,0.626992,0.615166,0.605768,0.594874,0.586695,0.576258,0.565099,0.554364,0.542291,0.532487,0.522855,0.510668,0.502082,0.492561,0.482098,1.2010580184369,1.03263107861368,1.6047737065584
"6",0.42,0.54,0.12,3.74460000000104e-05,3.53550000000147e-05,3.32640000000189e-05,0.000782256205633824,0.0028998991231001,0.00228782048282019,0.00331522567042495,0.00224893379383787,0.930462,0.926668,0.924155,0.920417,0.917893,0.914361,0.91168,0.908144,0.905396,0.901795,0.898931,0.895448,0.89269,0.888825,0.885825,0.88024,0.876449,0.870268,0.866463,0.860348,0.856356,0.850577,0.846284,0.840336,0.836156,0.830114,0.825688,0.819751,0.815315,0.808942,0.803813,0.796188,0.789733,0.781838,0.77536,0.767242,0.761532,0.75315,0.747708,0.7387,0.733448,0.724092,0.718763,0.709962,0.704106,0.695467,0.688613,0.678915,0.671169,0.660618,0.653271,0.949734,0.946792,0.944231,0.941648,0.93896,0.935242,0.931783,0.928801,0.925609,0.922402,0.917932,0.915196,0.911617,0.907788,0.904171,0.899511,0.894239,0.890108,0.885782,0.881304,0.8758,0.869173,0.864256,0.859266,0.854207,0.847629,0.840859,0.835316,0.829607,0.823745,0.81637,0.80828,0.802125,0.79584,0.789231,0.780399,0.772251,0.767488,0.760641,0.753448,0.745397,0.734635,0.7271,0.719597,0.711764,0.70255,0.691184,0.683104,0.675091,0.666988,0.656952,0.890821,0.88817,0.884351,0.879992,0.877227,0.87438,0.8702,0.865567,0.862467,0.859292,0.854393,0.849626,0.846365,0.843079,0.839093,0.832699,0.82926,0.825643,0.821356,0.814497,0.810655,0.806741,0.802019,0.794964,0.790941,0.786938,0.781827,0.774582,0.770422,0.766054,0.760675,0.753034,0.748572,0.744187,0.738575,0.730553,0.725856,0.721187,0.715526,0.706884,0.702072,0.697202,0.691114,0.682455,0.677417,0.672278,0.665648,0.656795,0.651657,0.646448,0.639471,0.952881,0.951713,0.949178,0.947195,0.944503,0.941326,0.939439,0.936635,0.934405,0.930171,0.926678,0.923357,0.920044,0.917012,0.911959,0.908141,0.904292,0.900622,0.896431,0.892669,0.886335,0.881148,0.877596,0.872033,0.866405,0.859999,0.855643,0.850286,0.843065,0.837423,0.830279,0.824359,0.817242,0.809962,0.803366,0.796542,0.789651,0.780993,0.773612,0.764981,0.759004,0.75005,0.741196,0.732479,0.722166,0.714017,0.705628,0.694589,0.68711,0.678867,0.669182,1.289455088027,1.01729116663589,1.47413217743837
"7",0.42,0.56,0.14,0.00010455479999999,6.66929999999788e-05,2.88311999999957e-05,0.000250186851213086,0.003390033787626,0.00247096989596207,0.00332867639427231,0.00245014959854224,0.955351,0.952885,0.951751,0.94924,0.948066,0.945802,0.944552,0.942366,0.941165,0.939118,0.937811,0.935872,0.934609,0.93257,0.931197,0.928089,0.92594,0.922136,0.919983,0.916295,0.914102,0.910598,0.908157,0.904807,0.902262,0.898865,0.896369,0.892955,0.89068,0.887161,0.884248,0.879588,0.875354,0.870432,0.866147,0.861017,0.857414,0.852002,0.848744,0.842783,0.839585,0.833465,0.830272,0.82431,0.820757,0.815111,0.810598,0.803721,0.798231,0.790333,0.784888,0.981555,0.980201,0.979236,0.978217,0.977103,0.975187,0.973637,0.9723,0.970965,0.969507,0.967156,0.965671,0.964049,0.96236,0.960684,0.95823,0.955302,0.953345,0.951327,0.949135,0.946224,0.942515,0.939971,0.93742,0.934841,0.930739,0.926607,0.92364,0.920484,0.917294,0.912636,0.907436,0.903885,0.900208,0.896518,0.890385,0.885144,0.882372,0.878056,0.873639,0.868136,0.860244,0.855426,0.850518,0.845389,0.838777,0.830379,0.824981,0.819368,0.813451,0.805982,0.943507,0.941926,0.939683,0.936791,0.935033,0.933239,0.9306,0.92759,0.925725,0.923789,0.920921,0.917676,0.915545,0.913321,0.910594,0.906537,0.904194,0.901844,0.898761,0.894396,0.891847,0.889168,0.885724,0.88105,0.878233,0.875418,0.871581,0.866441,0.863269,0.860122,0.855943,0.850446,0.847198,0.843827,0.839441,0.833387,0.82985,0.826295,0.822029,0.815275,0.811575,0.80774,0.802987,0.795952,0.791976,0.787905,0.782644,0.775453,0.77137,0.767131,0.761344,0.977911,0.977517,0.976629,0.975962,0.974172,0.972865,0.971989,0.97101,0.970223,0.967738,0.966331,0.964817,0.963528,0.9623,0.959401,0.957278,0.955737,0.953992,0.952184,0.95065,0.947033,0.94438,0.942792,0.940402,0.937586,0.9342,0.931696,0.928995,0.925283,0.922544,0.918145,0.914678,0.910844,0.907041,0.903302,0.898791,0.895133,0.890447,0.885845,0.880501,0.87714,0.870985,0.86575,0.860656,0.853661,0.84775,0.842609,0.834907,0.829748,0.824402,0.817006,1.38360277659901,1.00849756171306,1.358560471676
"8",0.47,0.53,0.06,-1.44263999999894e-05,2.07360000000073e-05,5.5898400000011e-05,0.00138815134884186,0.00186187620683861,0.00189402245002364,0.00328958762814315,0.00175163304822177,0.591331,0.579782,0.570817,0.559208,0.55033,0.539062,0.530001,0.519079,0.510065,0.499186,0.490172,0.479508,0.470915,0.459957,0.451544,0.43992,0.430975,0.419211,0.410668,0.399456,0.391143,0.380227,0.371654,0.361268,0.353225,0.342948,0.335034,0.32512,0.317767,0.308385,0.300501,0.290894,0.282723,0.273444,0.265831,0.256673,0.249738,0.240987,0.234521,0.226257,0.22012,0.212091,0.206345,0.198868,0.193021,0.186248,0.180406,0.173599,0.167675,0.160908,0.155346,0.591176,0.581397,0.571856,0.562249,0.552723,0.542164,0.532346,0.522724,0.513181,0.503544,0.4929,0.486001,0.476316,0.466672,0.457193,0.447042,0.436748,0.427214,0.41793,0.408589,0.398941,0.388409,0.379139,0.369993,0.3609,0.350911,0.341154,0.33232,0.323782,0.315284,0.30587,0.296556,0.28822,0.28024,0.2722,0.262946,0.254454,0.249463,0.242193,0.234907,0.227362,0.218575,0.21173,0.204975,0.198472,0.191211,0.183172,0.177126,0.171351,0.165725,0.159441,0.570004,0.564524,0.557355,0.548079,0.542573,0.537023,0.529543,0.520277,0.514654,0.509018,0.501299,0.492567,0.486948,0.481325,0.474361,0.464445,0.458862,0.453164,0.446348,0.436812,0.431439,0.425959,0.419108,0.409765,0.404319,0.398957,0.392017,0.38298,0.377562,0.372306,0.365185,0.356394,0.35123,0.346028,0.339089,0.330645,0.32556,0.320389,0.314388,0.305505,0.300537,0.295671,0.289602,0.281165,0.276444,0.271875,0.265757,0.257987,0.253434,0.248883,0.242855,0.600911,0.594393,0.582149,0.572208,0.565148,0.552166,0.543495,0.531823,0.523367,0.512811,0.500619,0.490442,0.479592,0.470103,0.458439,0.449844,0.438728,0.429214,0.417642,0.408981,0.396884,0.38632,0.378264,0.36761,0.357667,0.346746,0.340271,0.33122,0.319124,0.310234,0.301456,0.293881,0.284452,0.274726,0.26661,0.259391,0.251136,0.241392,0.23408,0.226483,0.220201,0.213192,0.204568,0.197216,0.190246,0.183679,0.177333,0.169938,0.164362,0.159287,0.15384,1.06293735935661,1.08128951548752,1.87801185384272
"9",0.47,0.55,0.08,-2.23647999999937e-05,-1.70679999999951e-05,-1.17712000000103e-05,0.00139224510823631,0.00210693995269729,0.00198852854452475,0.003299749843109,0.00188277393519478,0.761405,0.75185,0.744818,0.735247,0.728304,0.718958,0.711447,0.702127,0.694538,0.68498,0.677241,0.667782,0.659884,0.650164,0.642182,0.631479,0.622747,0.611368,0.60271,0.591637,0.583063,0.572045,0.563091,0.552574,0.543739,0.533157,0.524552,0.514354,0.505519,0.495123,0.485779,0.475357,0.465357,0.454534,0.444756,0.434429,0.42546,0.415146,0.406504,0.396176,0.387884,0.377812,0.369914,0.360339,0.352296,0.343258,0.334663,0.325416,0.316436,0.307217,0.29884,0.758454,0.750285,0.742667,0.734963,0.727026,0.718102,0.709359,0.701073,0.693056,0.684496,0.674919,0.668651,0.659935,0.651122,0.642172,0.632372,0.622356,0.613308,0.604257,0.595058,0.585056,0.574335,0.564799,0.555423,0.546038,0.535205,0.524622,0.515258,0.505517,0.496128,0.485511,0.474804,0.465124,0.455646,0.44603,0.434565,0.424187,0.418313,0.408976,0.399918,0.390242,0.378896,0.369983,0.361251,0.352683,0.343244,0.33223,0.323934,0.31561,0.307394,0.298349,0.699911,0.695038,0.688602,0.680415,0.675475,0.670445,0.663496,0.655124,0.649911,0.644749,0.637637,0.629247,0.623894,0.61864,0.611714,0.602427,0.596924,0.591536,0.584391,0.575147,0.569733,0.564332,0.556882,0.547727,0.542252,0.536723,0.528988,0.520148,0.514698,0.509232,0.501584,0.492546,0.486848,0.481293,0.473409,0.464581,0.459002,0.453478,0.446451,0.436903,0.431236,0.425662,0.418611,0.409436,0.403925,0.398453,0.391159,0.382285,0.37698,0.371814,0.364216,0.776631,0.771771,0.762161,0.755016,0.74905,0.738249,0.731284,0.721451,0.714398,0.705043,0.694407,0.685263,0.67551,0.666834,0.655963,0.647514,0.637463,0.628319,0.617029,0.608812,0.59638,0.585587,0.577085,0.566114,0.555867,0.544209,0.536781,0.526506,0.513247,0.503159,0.492867,0.484485,0.47343,0.461634,0.451932,0.442926,0.432874,0.420635,0.41117,0.400793,0.392727,0.382899,0.371403,0.361583,0.351939,0.342469,0.333215,0.322633,0.31424,0.306454,0.298163,1.11906156831267,1.05616957370882,1.75260012974825
"10",0.47,0.57,0.1,-3.80135999999975e-05,-9.14160000000108e-05,-0.000144818399999982,0.00115215709415667,0.00244050904882809,0.00211477833677075,0.00331180826731041,0.00204274115488876,0.874058,0.867744,0.863276,0.856862,0.852329,0.845942,0.841126,0.834944,0.829965,0.823428,0.818116,0.811708,0.806082,0.799562,0.793476,0.785928,0.778858,0.770606,0.763415,0.755085,0.748041,0.739777,0.732168,0.724009,0.716451,0.708063,0.700477,0.692095,0.684316,0.675827,0.667171,0.658182,0.648329,0.638744,0.629024,0.61944,0.610489,0.600719,0.592187,0.582625,0.573874,0.564014,0.555702,0.546085,0.537276,0.528158,0.51842,0.508702,0.498519,0.488498,0.478386,0.878758,0.873384,0.868331,0.863232,0.858198,0.852016,0.845934,0.840351,0.834629,0.828851,0.821817,0.81745,0.811205,0.804735,0.798209,0.790781,0.782649,0.775677,0.768581,0.761376,0.753288,0.74434,0.736615,0.72886,0.720909,0.711394,0.702003,0.693784,0.685464,0.676927,0.667002,0.656776,0.648116,0.639288,0.63047,0.619252,0.608942,0.603402,0.59452,0.585456,0.575476,0.563179,0.55387,0.544565,0.53534,0.524936,0.512406,0.503014,0.493665,0.484236,0.47354,0.808719,0.804876,0.799782,0.793323,0.789425,0.785464,0.779969,0.773199,0.769022,0.764686,0.758528,0.751532,0.746971,0.742418,0.736304,0.728705,0.724056,0.719301,0.712882,0.705108,0.700392,0.695443,0.688453,0.680639,0.675667,0.67068,0.663393,0.655516,0.650298,0.645012,0.637355,0.629188,0.623842,0.618615,0.610586,0.602405,0.596905,0.591542,0.583966,0.575088,0.569671,0.56424,0.556254,0.547359,0.541802,0.536269,0.528252,0.519453,0.513888,0.508251,0.499938,0.893493,0.890749,0.884995,0.880909,0.87677,0.869998,0.865812,0.859815,0.855191,0.848569,0.841276,0.835462,0.828893,0.822976,0.814946,0.808393,0.801568,0.794704,0.786558,0.780644,0.770628,0.7622,0.755563,0.746909,0.738824,0.72896,0.722371,0.713986,0.702443,0.694027,0.684096,0.676557,0.666511,0.655645,0.646935,0.637963,0.62878,0.616769,0.607371,0.596823,0.588682,0.578333,0.566626,0.555706,0.545247,0.534301,0.523965,0.511701,0.502108,0.493173,0.483043,1.19472261230327,1.03526495841609,1.62125693673154
